Name,Spectrum,Select,MDV,Std
Cit,m0,1,0.419758662,1
Cit,m1,1,0.058149318,1
Cit,m2,1,0.319674394,1
Cit,m3,1,0.089949323,1
Cit,m4,1,0.077407591,1
Cit,m5,1,2.91E-02,1
Cit,m6,1,5.99E-03,1
Fum,m0,1,0.676265338,1
Fum,m1,1,0.078524103,1
Fum,m2,1,0.154156354,1
Fum,m3,1,0.080208597,1
Fum,m4,1,1.08E-02,1
Mal,m0,1,0.647364494,1
Mal,m1,1,0.083350821,1
Mal,m2,1,0.168161517,1
Mal,m3,1,0.083867257,1
Mal,m4,1,0.017255911,1
Oxa,m0,1,0.740165818,1
Oxa,m1,1,0.087208713,1
Oxa,m2,1,0.110334861,1
Oxa,m3,1,0.062290608,1
Oxa,m4,1,0,1
aKG,m0,1,0.605475129,1
aKG,m1,1,0.052478613,1
aKG,m2,1,0.218252569,1
aKG,m3,1,0.071781644,1
aKG,m4,1,0.039983489,1
aKG,m5,1,0.012028557,1
Pyr,m0,1,0.491685764,1
Pyr,m1,1,0.034356993,1
Pyr,m2,1,0.061926921,1
Pyr,m3,1,0.412030322,1
Suc,m0,1,0.946473143,1
Suc,m1,1,0.010775392,1
Suc,m2,1,0.029690663,1
Suc,m3,1,0.013060802,1
Suc,m4,1,0,1
m3PG,m0,1,0.487523257,1
m3PG,m1,1,0,1
m3PG,m2,1,0.031693559,1
m3PG,m3,1,0.480783184,1
DHAP,m0,1,0.129114335,1
DHAP,m1,1,0,1
DHAP,m2,1,0.692181971,1
DHAP,m3,1,0.178703694,1
FBP,m0,1,0.378841037,1
FBP,m1,1,0.014323442,1
FBP,m2,1,0.010748221,1
FBP,m3,1,0.190837327,1
FBP,m4,1,0.026451129,1
FBP,m5,1,0.042180835,1
FBP,m6,1,0.336618009,1
F6P,m0,1,0.505458346,1
F6P,m1,1,0,1
F6P,m2,1,0,1
F6P,m3,1,0,1
F6P,m4,1,0,1
F6P,m5,1,0,1
F6P,m6,1,0.494541654,1
G6P,m0,1,0.52396433,1
G6P,m1,1,0,1
G6P,m2,1,0,1
G6P,m3,1,0,1
G6P,m4,1,0,1
G6P,m5,1,0,1
G6P,m6,1,0.47603567,1
GAP,m0,1,0.469192676,1
GAP,m1,1,0.210164915,1
GAP,m2,1,0,1
GAP,m3,1,0.32064241,1
G3P,m0,1,0.558242795,1
G3P,m1,1,0.094449448,1
G3P,m2,1,0,1
G3P,m3,1,0.347307757,1
Asp,m0,1,0.722934861,1
Asp,m1,1,0.07614764,1
Asp,m2,1,0.125617021,1
Asp,m3,1,0.061019915,1
Asp,m4,1,0.014280563,1
Glu,m0,1,0.594389342,1
Glu,m1,1,0.062342042,1
Glu,m2,1,0.229909669,1
Glu,m3,1,0.060783789,1
Glu,m4,1,4.11E-02,1
Glu,m5,1,0.011442206,1
Gln,m0,1,0.993856775,1
Gln,m1,1,0.003188109,1
Gln,m2,1,0.002448493,1
Gln,m3,1,5.07E-04,1
Gln,m4,1,0.002448493,1
Gln,m5,1,5.07E-04,1
AcAsp,m0,1,0.481971602,1
AcAsp,m1,1,0.050836405,1
AcAsp,m2,1,0.327552579,1
AcAsp,m3,1,0.079333906,1
AcAsp,m4,1,0.060305509,1
AcAsp,m5,1,0.079333906,1
AcAsp,m6,1,0.060305509,1
Ru5P,m0,1,0.277830688,1
Ru5P,m1,1,0,1
Ru5P,m2,1,0,1
Ru5P,m3,1,0.722169312,1
Ru5P,m4,1,0,1
Ru5P,m5,1,0,1
S7P,m0,1,0.343078997,1
S7P,m1,1,0,1
S7P,m2,1,0.321371604,1
S7P,m3,1,0.335549399,1
S7P,m4,1,0,1
S7P,m5,1,0,1
S7P,m6,1,0,1
S7P,m7,1,0,1
Lac,m0,1,,1
Lac,m1,1,,1
Lac,m2,1,,1
Lac,m3,1,,1