tissue,sex,Glycolysis_mean,Glycolysis_sem,Glycolysis_count,Oxidative_PPP_mean,Oxidative_PPP_sem,Oxidative_PPP_count,Non_oxidative_PPP_mean,Non_oxidative_PPP_sem,Non_oxidative_PPP_count,TCA_Cycle_mean,TCA_Cycle_sem,TCA_Cycle_count,Pyruvate_Dehydrogenase_mean,Pyruvate_Dehydrogenase_sem,Pyruvate_Dehydrogenase_count,Fatty_Acid_Oxidation_mean,Fatty_Acid_Oxidation_sem,Fatty_Acid_Oxidation_count,Fatty_Acid_Synthesis_mean,Fatty_Acid_Synthesis_sem,Fatty_Acid_Synthesis_count,Malic_Enzyme_mean,Malic_Enzyme_sem,Malic_Enzyme_count,IDH_NADPH_mean,IDH_NADPH_sem,IDH_NADPH_count,Lactate_Dehydrogenase_mean,Lactate_Dehydrogenase_sem,Lactate_Dehydrogenase_count,Glutaminolysis_mean,Glutaminolysis_sem,Glutaminolysis_count,Alanine_catabolism_mean,Alanine_catabolism_sem,Alanine_catabolism_count,Aspartate_catabolism_mean,Aspartate_catabolism_sem,Aspartate_catabolism_count,Leucine_catabolism_mean,Leucine_catabolism_sem,Leucine_catabolism_count,Isoleucine_catabolism_mean,Isoleucine_catabolism_sem,Isoleucine_catabolism_count,Valine_catabolism_mean,Valine_catabolism_sem,Valine_catabolism_count,Serine_catabolism_mean,Serine_catabolism_sem,Serine_catabolism_count,Glycine_catabolism_mean,Glycine_catabolism_sem,Glycine_catabolism_count,Threonine_catabolism_mean,Threonine_catabolism_sem,Threonine_catabolism_count,Methionine_catabolism_mean,Methionine_catabolism_sem,Methionine_catabolism_count,Proline_catabolism_mean,Proline_catabolism_sem,Proline_catabolism_count,Arginine_catabolism_mean,Arginine_catabolism_sem,Arginine_catabolism_count,Histidine_catabolism_mean,Histidine_catabolism_sem,Histidine_catabolism_count,Lysine_catabolism_mean,Lysine_catabolism_sem,Lysine_catabolism_count,Phenylalanine_catabolism_mean,Phenylalanine_catabolism_sem,Phenylalanine_catabolism_count,Tyrosine_catabolism_mean,Tyrosine_catabolism_sem,Tyrosine_catabolism_count,Tryptophan_catabolism_mean,Tryptophan_catabolism_sem,Tryptophan_catabolism_count,Cysteine_catabolism_mean,Cysteine_catabolism_sem,Cysteine_catabolism_count,Asparagine_catabolism_mean,Asparagine_catabolism_sem,Asparagine_catabolism_count
BAT,Female,0.6368688855273715,0.01622983792064104,5,0.6355948688177032,0.03692273694611527,5,0.9054082154270127,0.01366502323226182,5,0.9025411899549759,0.010339426210488016,5,0.957909491832635,0.025451062295130583,5,0.9132570195492453,0.023973200782262765,5,0.5936878630788007,0.01816209856442506,5,0.4522284901153631,0.021432437175570904,5,0.23923378010832694,0.010398812462517825,5,0.653916841284149,0.023767965292174707,5,0.06704430200718456,0.00044535341514721825,5,0.08349847252074598,0.0032019511921168543,5,0.05,0.0,5,0.47632194517181414,0.012801519469806484,5,0.3942773093701736,0.018328318282105748,5,0.5836760684045639,0.01910564876493785,5,0.14343630021507586,0.0030916264984790216,5,0.16166300196750197,0.0016084604667619472,5,0.09755088708714402,0.0015185221793957997,5,0.09864719579173224,0.0019039422000357742,5,0.1198011015525688,0.005180242245463626,5,0.05,0.0,5,0.05,0.0,5,0.07563314692782616,0.0016765530590239714,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.15504344614047022,0.004397523325009242,5,0.10693730673865884,0.0011695260272087287,5
BAT,Male,0.6193766586977771,0.0414322681525921,5,0.7765188978524888,0.058613455789452276,5,0.9092672451635094,0.04369508254197486,5,0.8717089784901979,0.022856767249843684,5,0.8190889701907895,0.05327422441983308,5,0.8170957419182662,0.02644003756460608,5,0.7193206201355202,0.03509101526273305,5,0.4688722874421914,0.018407385220756817,5,0.2549836483151466,0.025029287239349055,5,0.6645301078141013,0.06318795930486736,5,0.07654028817379774,0.0033694768354379434,5,0.12814584650053246,0.007884029675806285,5,0.0564802134383731,0.0064802134383731,5,0.5215261305960586,0.035125789840459505,5,0.4098279717888592,0.02403702583809706,5,0.6171116872113658,0.030768142720983837,5,0.16163385315247666,0.011653009881229687,5,0.15931123499892896,0.006095226794405214,5,0.09956442632015014,0.004181958639381769,5,0.10032101111649219,0.002705871352964918,5,0.16060820054897762,0.008585445418734778,5,0.0578781968397817,0.001832779050358761,5,0.05,0.0,5,0.08736232328431351,0.004335221310656064,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.1906199779625699,0.012304398791769882,5,0.1293745671997018,0.010852031782866286,5
CB,Female,0.5008854834139977,0.010198846032083337,5,0.12022254613028352,0.0023446748337269197,5,0.08210523900572349,0.0012039587967008667,5,0.2959695429755313,0.0029117329035332853,5,0.2597069571876935,0.005277199332191583,5,0.12503965153060387,0.0020357167742004892,5,0.11321552829109505,0.0012037156364039276,5,0.43975199471464144,0.007938394733331905,5,0.05,0.0,5,0.579526122653385,0.0064026528167146395,5,0.43318778831723914,0.0071448311785956755,5,0.13059381062943284,0.0052179369191446565,5,0.38775121491970366,0.012375850765113737,5,0.39683815458118415,0.008612640279361374,5,0.308400452979894,0.00430812686742395,5,0.2514012707271533,0.005635698819712124,5,0.10038765866205634,0.0038952400733325413,5,0.4811672456168258,0.005429447571441289,5,0.05236420672119868,0.001269436077451385,5,0.16011672762514562,0.0019102240920126125,5,0.11255742465186172,0.00272229781414195,5,0.07648965550167122,0.0012907949540380043,5,0.05,0.0,5,0.156223648757686,0.017112916879330014,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.13916790720884512,0.002227910966323536,5,0.4963171952449724,0.01040348438382094,5
CB,Male,0.4725170406092225,0.00952585818005914,5,0.12018367614203229,0.0038282361875219438,5,0.07894535073052986,0.0018899502630177632,5,0.28698507992094846,0.00844994153267286,5,0.2589949123685681,0.011559307815445884,5,0.10976329877674362,0.001087312819381814,5,0.11344063406465685,0.0014419481579470916,5,0.4663566600599685,0.031297462932899214,5,0.05079537767493503,0.0007953776749350192,5,0.6022258590844302,0.01446247461085839,5,0.38986350857435215,0.014802347060608088,5,0.1300690181609999,0.004600017792192336,5,0.3823827119511093,0.004401222108137272,5,0.3904700429701176,0.019618829242203952,5,0.2909618490944769,0.020367039056059223,5,0.24806146151030636,0.0071817806396623765,5,0.11668305979864954,0.006335426159743479,5,0.44772887318340465,0.021333594649519713,5,0.06127130456894904,0.004191012034704316,5,0.17669199179669026,0.004721469355734996,5,0.1196937723666683,0.0038133659262838807,5,0.07350988402360532,0.0020550361219839578,5,0.05,0.0,5,0.15090516378838104,0.007132510049353506,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.13826283335965336,0.0007944351635244418,5,0.4942967254718014,0.009784708256712498,5
Cor,Female,0.5017311522714658,0.015445763249392992,5,0.08273359036326908,0.002909109400360497,5,0.07803279029495983,0.0020025110728968958,5,0.2581925785364808,0.005375569155490779,5,0.24724824842667187,0.006638851072898461,5,0.10014761363219034,0.0012375787132806407,5,0.10679555960213467,0.0008841504854386027,5,0.6972353509173146,0.056790451560590885,5,0.07360824068933658,0.004102449995550453,5,0.4995383504634513,0.017799538934743498,5,0.4246841277286101,0.009019540203637127,5,0.14303775325212298,0.0065468260130463725,5,0.4577648742632934,0.017955230453507717,5,0.2648932659815292,0.009601332396200715,5,0.24274096712873225,0.004839295837044131,5,0.18166594600212269,0.005250943982706572,5,0.060933871197003955,0.0009728333733019137,5,0.3249226339940771,0.019549847199001207,5,0.05,0.0,5,0.16919972120522478,0.006729339793775999,5,0.07310297709635676,0.001815170704657466,5,0.0649591510187825,0.0010605616893407377,5,0.05,0.0,5,0.16468302866317447,0.015134957210356995,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.15116743471261793,0.003026978508804225,5,0.6022887321350614,0.018973823806994958,5
Cor,Male,0.5106558619484927,0.028711223656733644,5,0.09247591007518112,0.004289994761759326,5,0.0880642419676878,0.006212660636308039,5,0.2505437821281985,0.012891974115130217,5,0.19970272727910446,0.02599586248470513,5,0.10153679848447664,0.0022721080400796793,5,0.09362875157806404,0.00841894892229565,5,0.8108146567057986,0.057246380037010006,5,0.05163274255776738,0.0010006692954438107,5,0.5628135395657884,0.02596942746759026,5,0.34798376721278224,0.052361815460562164,5,0.1276091727362361,0.02193522676211307,5,0.4558662155329154,0.0460834299057931,5,0.23710618312235301,0.01890123799652192,5,0.20887584360553219,0.02476778228331191,5,0.15270606520967733,0.00967397076422726,5,0.06668578348783692,0.00023811403165491598,5,0.31303731922091094,0.03440313683528227,5,0.05000750844806072,7.508448060719741e-06,5,0.16860564271616238,0.00823478052110949,5,0.0851264105153424,0.0026838691160950496,5,0.060829961247878164,0.0028917400946727955,5,0.05,0.0,5,0.13435363805955075,0.007687354319815798,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.15010499912657407,0.00809011764217552,5,0.6370655715142227,0.03655639759175343,5
DP,Female,0.259158608836752,0.028215704744287695,5,0.092917491126435,0.007445003425158083,5,0.07204871977492824,0.004348753483890393,5,0.4178522808739868,0.04646287220732181,5,0.34766327124827084,0.035241998502511404,5,0.41959193406052486,0.0535664703260852,5,0.08431009112230084,0.0026193215408690336,5,0.4053209330690654,0.05850213691172559,5,0.4263465086471978,0.04966181887613186,5,0.38408620109031294,0.05263886640615058,5,0.2779346020151487,0.04808502638626612,5,0.2022836423777869,0.04436593388411124,5,0.5195172401848578,0.06044264019205417,5,0.31801657459641863,0.02644260701569089,5,0.2956064938356081,0.019356426697870174,5,0.29466587148456097,0.024498881411785432,5,0.1380384473345955,0.0353277607114153,5,0.21332736409122705,0.05440064778650767,5,0.07093316892121015,0.009463639462784572,5,0.2011103062986031,0.05180128094455569,5,0.19859257952764978,0.061889353537751796,5,0.18495202614711412,0.05499868671128596,5,0.15323203457085258,0.06270653584452239,5,0.17420854136152086,0.03604106369377018,5,0.13182581972221896,0.04934073943766672,5,0.12228419288520578,0.04483273485873567,5,0.17848930494081555,0.07020352609444461,5,0.1873695390142914,0.024113739583173328,5,0.18997654410819706,0.02059002303850026,5
DP,Male,0.3044562475756442,0.02621499815420879,5,0.1050963465026427,0.011715064571047606,5,0.07599570140076643,0.006191225598357007,5,0.4976548288385859,0.02822221637030601,5,0.3670866663417937,0.016526121845222324,5,0.48414774077552936,0.027483670768186516,5,0.09565350228777561,0.004918335664435265,5,0.5962036895868272,0.06606513214716563,5,0.526957473834252,0.043135593877500225,5,0.47416564457583527,0.04239235493958682,5,0.25212796434588325,0.02561807769110444,5,0.26385134060621473,0.03283590146784585,5,0.821282998742905,0.034832288294604746,5,0.3546192304968362,0.0136140005126234,5,0.3366854058714931,0.004050945187448333,5,0.3264205368387239,0.01131511878078115,5,0.10141592068773833,0.018969776148272194,5,0.15291825471763737,0.025560708639859923,5,0.05625537450928926,0.005844782278917994,5,0.13612501594307141,0.03180523954445223,5,0.13312367215125112,0.025805989279435258,5,0.1366463638019148,0.03492900370945392,5,0.08459547084879238,0.027764144195285837,5,0.13064802676482395,0.02283443375270528,5,0.08527961117669339,0.030181914951596646,5,0.08136267543630113,0.026354874421006702,5,0.10380705553812195,0.04586456307519544,5,0.23677581103641146,0.022044036843296432,5,0.23294387730454913,0.012417868821875427,5
GUT,Female,0.2762918879141483,0.052242896095004196,5,0.14444372803852482,0.018019006441496344,5,0.1916873798015415,0.027437109855082166,5,0.36006175006919083,0.0641807615965875,5,0.13805863745876815,0.021886457041768774,5,0.19367507893689065,0.031471149461627206,5,0.05611485469264564,0.004989419810202167,5,0.8076097438591265,0.160723950639288,5,0.24102056906662433,0.03802675387945059,5,0.6071229033929889,0.115409898252645,5,0.20119908244879783,0.04031146952319818,5,0.2649568588430288,0.051686014739852175,5,0.10032581071741482,0.022504654479394343,5,0.07777754733657047,0.0030683148798284587,5,0.05740016359254522,0.004914217727410717,5,0.0676475512295461,0.0035885713490362453,5,0.16292579949834288,0.023716753432705268,5,0.11096015366786523,0.007352288240544459,5,0.13071238442221875,0.021654108468470146,5,0.11301296225707971,0.006780765436272767,5,0.14936957157907826,0.035686220159562874,5,0.5259408342988177,0.10064631592717349,5,0.05,0.0,5,0.08176624208780145,0.006386114744150048,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.06908310733879666,0.007807285320247959,5,0.13666832033611728,0.01039311199932068,5
GUT,Male,0.32629198422648725,0.03513103631327362,5,0.16354822363276306,0.015597089509287487,5,0.22083415161914094,0.027309650110889004,5,0.4166366809178525,0.03431178180415795,5,0.13899219655738168,0.02299532908625529,5,0.23126450925717598,0.006303836726249192,5,0.05744285192537056,0.003599790419223364,5,0.7244466745591821,0.12702267103008072,5,0.26573237353686235,0.04086188149902137,5,0.6866139603883479,0.08941405750947483,5,0.2051095533440171,0.026798752899888856,5,0.3318389285005547,0.03992889676407973,5,0.12433539946777535,0.015357480707622427,5,0.07756101511305352,0.0013641863608535802,5,0.056711047042346384,0.002565046904374143,5,0.06715714423710628,0.003036362624979072,5,0.20656135239192444,0.01984659862939358,5,0.11751166012249761,0.004756555816053378,5,0.1655557007282879,0.041691911048946005,5,0.11496568969886645,0.0071684540411432905,5,0.1427784006290603,0.01873896763570084,5,0.5790767657649541,0.04696348967518394,5,0.05,0.0,5,0.07522749914608992,0.003821679697653096,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.07825281354902032,0.004828745827102134,5,0.15552924535611537,0.012425059512074893,5
Gas,Female,0.6968456108076502,0.01327120138037148,5,0.0652710479147302,0.0017936247910317101,5,0.0615333085991121,0.0016355927312255005,5,0.3612575573303696,0.006859471302355687,5,0.29690669556160165,0.007501837671957776,5,0.23181830629969608,0.01235345546032302,5,0.09718267145067604,0.013706686068539607,5,0.5348884484423438,0.01023126695006618,5,0.11920718214579247,0.01473757067680078,5,0.8872373687442334,0.031649692845600555,5,0.1574695042867153,0.0033312110004745836,5,0.4576110810724849,0.02565739021179295,5,0.41099369689328424,0.02452578475818935,5,0.2387460055415315,0.009046430237542449,5,0.21907258086381926,0.01208778588314643,5,0.24048500978353865,0.008155022272996932,5,0.07040214993149993,0.0026124771577868576,5,0.12541036171056558,0.004011787462102853,5,0.05,0.0,5,0.09750671598003874,0.002514908142659251,5,0.09652162073655433,0.005319994625678561,5,0.08954000421346711,0.0024296680914000324,5,0.052399046430716245,0.0023990464307162393,5,0.10236866186682406,0.0061899704116075635,5,0.050405476992436936,0.0004054769924369405,5,0.05,0.0,5,0.052371605227489036,0.002371605227489039,5,0.1431003281846753,0.004242078444065774,5,0.1431003281846753,0.004242078444065774,5
Gas,Male,0.6856131148748246,0.06074634535699873,5,0.06543576588332153,0.002052271347428866,5,0.061285774464372,0.0033062545162379125,5,0.3522740039041315,0.019721908032674224,5,0.26632570159733526,0.01063540934496059,5,0.21753485122063848,0.010207096859543888,5,0.08648678286578212,0.003265073390592638,5,0.47240432992834275,0.034771420877470406,5,0.10349767511365786,0.011316887985673636,5,0.7877938389205607,0.08097135602389677,5,0.14219682116050641,0.006311925594879979,5,0.38604847174072066,0.02158089710005112,5,0.431776748640868,0.05324412791312265,5,0.2571622568002921,0.012498373628706656,5,0.2383002033686096,0.009022044932202638,5,0.2380384206633434,0.006146237117005768,5,0.060488403609926154,0.001636905052458143,5,0.11938148809232944,0.0029156739860155658,5,0.05,0.0,5,0.09214063122585436,0.0012082767520354488,5,0.08558434542455322,0.0038011736561241183,5,0.09010796606980154,0.003751547594181906,5,0.05,0.0,5,0.08971149723768458,0.005970166041901146,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.14579605720683037,0.009115195211651278,5,0.14579605720683037,0.009115195211651278,5
H,Female,0.2687799803322394,0.00955216525089152,5,0.08110963431717202,0.0025353572643786776,5,0.05666449578723454,0.002416140952839423,5,0.6170963544751074,0.019141617312284906,5,0.39257069492743757,0.016805811103371062,5,0.5833784167602956,0.023120639048409115,5,0.19240246494410382,0.014266300022648847,5,0.7317172333180871,0.03923158634334243,5,0.772847971400162,0.025958417962854433,5,0.7501488089690488,0.02191057384676816,5,0.13832576334480656,0.003168388086314685,5,0.05,0.0,5,0.6852014606487071,0.034621811139951934,5,0.32717948497812194,0.012697175950457863,5,0.21190297625439092,0.0021844219338982567,5,0.25220019810265154,0.0033593013380962015,5,0.08761255574165534,0.007552259114229057,5,0.11219900476269537,0.00150028439190548,5,0.06272588558510764,0.0033557323864486185,5,0.09043825044461881,0.0014088392826075414,5,0.07785339520588241,0.0018310275943765578,5,0.07390203951127382,0.002096238020849183,5,0.05,0.0,5,0.09223060985131029,0.002849205818775164,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.18486951974067134,0.004564364777514793,5,0.18486951974067134,0.004564364777514793,5
H,Male,0.31450688895265116,0.02076501840298878,5,0.0904522495639887,0.0006818893500399741,5,0.06099427739911127,0.0014625741131759227,5,0.6999880237021643,0.03510475550847301,5,0.3739235022670634,0.014470975125053824,5,0.6846744684190911,0.029071339554976455,5,0.21602566959794292,0.01645971146906323,5,0.8671748742186309,0.06459322853619959,5,0.9274828004391132,0.06385327057349899,5,0.9132337462704557,0.06759389320597571,5,0.15386300597043323,0.005950163518964463,5,0.05326866193823347,0.00133574767872009,5,0.9232317680414897,0.05880646169196809,5,0.425970908693162,0.0197188476686815,5,0.2650191866091115,0.005628932028236805,5,0.29753817523845916,0.006158019719214765,5,0.10597497009826055,0.006436595144736426,5,0.12114986208869989,0.0011807283704496296,5,0.06666780926029017,0.0025494111817261217,5,0.09139254604329237,0.003044226903247815,5,0.09391996565765254,0.0024744336801858953,5,0.08174092224741407,0.0016339989230703667,5,0.05,0.0,5,0.09967133967457417,0.003113505304843156,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.21436892830406834,0.007203314859140772,5,0.21436892830406834,0.007203314859140772,5
